,Unnamed: 0,review_text,review_text_pre,price,packaging,product,aroma,price_pred,packaging_pred,product_pred,aroma_pred
0,0,"sangat menyukainya! awalnha aku bukan orang yg suka pakai sunblock karena aku gak suka sama efek lengketnya. Namun sejak ketemu sama biore ini, aku jadi sukaa banget krn sublock ini sama sekali gak lengket di kulit. wanginya seger kayak ada citrusnya gitu dan adem di wajah. Selain itu juga sangat cepat meresap ke kulit wajah karena sifatnya yang water base",sangat suka awal bukan orang suka pakai sunblock tidak suka sama efek lengket sejak ketemu sama biore jadi suka banget sublock sama sekali tidak lengket kulit wangi segar citrusnya gitu adem wajah sangat cepat resap kulit wajah sifat water base,0,0,1,1,0,0,1,1
1,1,"di kulitku yang kombinasi, sunscreen ini enak banget dipake pagi setelah mandi dan langsung cuss ngantor. apalagi dengan spf 50 yang pastinya lebih dari cukup untuk matahari pagi. teksturnya milky dan gampang menyerap di kulit. hasil matte-dewy dan ga ada whitecast sama sekali. ga bikin breakout atau apapun, langsung cocok dari awal pake. packagingnya juga bagus mungil lucu ringan, travel friendly banget. ini tabir surya favoritku untuk sekali pakai, jadi pasti beli kembali!", kulit kombinasi sunscreen enak banget pakai pagi mandi langsung cuss ngantor spf pasti lebih cukup matahari pagi tekstur milky tidak ang serap kulit hasil matte dewy tidak whitecast sama sekali tidak buat breakout apa langsung cocok awal pakai kemas bagus mungil lucu ringan travel friendly banget tabir surya favorit sekali pakai jadi beli ,0,1,1,0,1,1,1,0
2,2,"pacakginya gedee banget ,,, ga travel friendly sama sekali ,, uda gitu berharap banyak karena non alcohol .. eh malah tambah iritasi kulitku ,, beruntusan malah jadi tambah banyak ... kulit jadi kusam..ga bakalan repurchase again ni sih",pacakginya besar banget tidak travel friendly sama sekali gitu harap banyak non alcohol malah tambah iritasi kulit beruntus malah jadi tambah banyak kulit jadi kusam tidak bakal repurchase again ,0,-1,-1,0,0,1,-1,0
3,3,"wonder pore ini lumayan agak ngefek sih di aku, biasa pake ini buat toner. tapi untuk serinya wonder pore, kayaknya wonder pore ini agak biasa aja untuk ngecilin pori pori, tapi wonder pori freshner ini punya terobosan buat ngebasmi kuman dan cacing yang ada di kulit kita mengelola kulit kita ngga berpori besar dan berminyak",wonder pore lumayan pengaruh biasa pakai buat toner seri wonder pore seperti wonder pore biasa ngecilin pori pori wonder pori freshner punya terobos buat ngebasmi kuman cacing kulit kelola kulit tidak pori besar minyak,0,0,1,0,0,0,-1,0
4,4,"kalo saya bilang mahal ya karena ga sesuai sama barangnya ... gak ampuh di kulit saya, ga mengangkat komedo menyeluruh, malah muncul whitehead disekitar pipi. seger sih dipakenya, tapi saya ga akan beli ini lagi .. mengingat fungsinya yang tidak optimal.",kalau bilang mahal tidak sesuai sama barang tidak uh kulit tidak angkat komedo seluruh malah muncul whitehead sekitar pipi segar dipakenya tidak beli ingat fungsi tidak optimal ,-1,0,-1,0,-1,0,-1,0
5,5,"untuk serum vitamin c kadar 20% dengan harga segitu bener2 menarik untuk dicoba. sudah hampir sebulan aku pake serum ini, mukaku agak cerahan, wajah juga lebih kencang. untuk jerawat scarsnya sendiri, masi tetep ada dan belum hilang. mungkin harus nunggu lebih lama lagi biar keluar efeknya vitamin c ini bener-bener ga stabil. Aku saranin begitu terbuka, langsung ganti ke pipet yang sudah disediain. terus langsung taruh di kulkas. when mau ditemplokin ke wajah, alangkah terjaga botolnya ditutup. Karena kebanyakan dari kita kalo mau ngusapin sesuatu ke wajah, produknya lupa ga ditutup dan baru ditutup ketika selesai. simpan bareng kotaknya juga biar dikurangi cahaya", serum vitamin c kadar harga segitu bener tarik coba h ir bulan pakai serum muka cerah wajah lebih kencang jerawat scarsnya sendiri mas tetap hilang mungkin nunggu lebih lama keluar efek vitamin c bener bener tidak stabil saranin buka langsung ganti pipet ain terus langsung taruh kulkas when mau ditemplokin wajah alangkah jaga botol tutup banyak kalau mau ngusapin wajah produk lupa tidak tutup baru tutup selesai simpan bareng kotak rang cahaya,0,0,1,0,0,-1,1,0
6,6,karna aku pecinta sunblock jadi hampir semua sunblock aku cobain. dan ini salah satu ku favorit. hasilnya gak begitu white cast. packaging nya bagus & quot; aja. isi nya banyak pake dikit banget udah bisa semuka dan seleher. harga nya lumayan mahal. bisa di cari di supermarket gede tapi di carefour ga ada ya. spf nya gede suka banget sama spf yang tinggi., cinta sunblock jadi h ir semua sunblock coba salah satu ku favorit hasil tidak white cast packaging bagus isi banyak pakai dikit banget muka leher harga lumayan mahal cari supermarket besar tidak spf besar suka banget sama spf tinggi ,-1,1,1,0,1,1,0,0
7,7,udah dua kali pembelian kembali serum ini. serum ini cepet banget nyerap dikulit dan jadi lembab sepanjang hari hihii kulit saya jadi kencang. tapi serum ini makin lama makin mahal harganya. kalo ada budget lebih saya akan membeli kembali serum kesayangan ini., kali beli serum serum cepat banget serap kulit jadi lembab panjang hari kulit jadi kencang serum makin lama makin mahal harga kalau budget lebih beli serum sayang ,-1,0,1,0,-1,0,1,0
8,8,pro wanginya enak scrub nya oke ga terlalu kasar cukup buat kotoran kotoran dan kulit halus harga terjangkau packaging okelah so so sih tapi dengan harga segini cukup kepake lama sih kontra - one of my fave repurchase: yes,pro wangi enak scrub tidak terlalu kasar cukup buat kotor kotor kulit halus harga jangkau packaging oke so so harga gin cukup kepake lama kontra one of my favorit repurchase yes,1,0,1,1,1,1,0,1
9,9,"lipstik (merah) terbaik !! ini merupakan lipstik merah dan lipstik mac pertama yang saya beli. waktu itu belinya cuma gara2 packaging-nya bagus banget wonder woman (krn saya pencinta wonder woman hehe) .. pokoknya suka banget dengan warna merah, mencerahkan wajah saya .. entah bagaimana. bahkan ketika sedang tidak pakai makeup sekalipun, lipstik ini udah cukup bikin wajah terlihat cling. saya juga punya ruby ??woo, tapi warna merahnya terlalu mencolok dan tekstur retro matte itu lebih kering dibandingkan tekstur matte russian red ini. cinta .. cinta .. cinta .. pasti harus punya lipstik merah!",lipstick merah baik rupa lipstick merah lipstick mac pertama beli waktu beli cuma gara packaging bagus banget wonder woman cinta wonder woman pokok suka banget warna merah cerah wajah entah bagaimana bahkan sedang tidak pakai makeup sekalipun lipstick cukup buat wajah lihat cling punya ruby warna merah terlalu colok tekstur retro matte lebih kering banding tekstur matte russian red cinta cinta cinta punya lipstick merah ,0,1,1,0,1,1,1,0
